"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SF/PF","LeBron James",11800,"CLE@CHI 12/04/2017 08:00PM ET",56.261,"CLE","CHI",54.24,53.9,44.75
"PF/C","DeMarcus Cousins",11000,"GS@NO 12/04/2017 08:00PM ET",54.576,"NO","GS",56.36,58.3,58.75
"SF/PF","Giannis Antetokounmpo",10600,"MIL@BOS 12/04/2017 07:30PM ET",55.513,"MIL","BOS",56.24,53.4,55.25
"PF/C","Anthony Davis",10100,"GS@NO 12/04/2017 08:00PM ET",49,"NO","GS",0,0,0
"PG/SF","Ben Simmons",9800,"PHO@PHI 12/04/2017 07:00PM ET",45.631,"PHI","PHO",53.51,52,51
"C","Joel Embiid",9800,"PHO@PHI 12/04/2017 07:00PM ET",45.842,"PHI","PHO",54.01,53.6,49.5
"PG/SG","Stephen Curry",9400,"GS@NO 12/04/2017 08:00PM ET",46.524,"GS","NO",47.76,47.5,58.75
"SF/PF","Kevin Durant",9000,"GS@NO 12/04/2017 08:00PM ET",45.819,"GS","NO",46.5,48.6,38.25
"C","Andre Drummond",8800,"DET@SA 12/04/2017 08:30PM ET",44.341,"DET","SA",45.96,43.4,41.25
"PG/SG","Victor Oladipo",8700,"NY@IND 12/04/2017 07:00PM ET",41.284,"IND","NY",44.01,41.9,33.75
"PG","Kyrie Irving",8500,"MIL@BOS 12/04/2017 07:30PM ET",38.457,"BOS","MIL",38.88,39.4,42
"PG","John Wall",8500,"WAS@UTA 12/04/2017 09:00PM ET",42.313,"WAS","UTA",0,0,0
"C","Nikola Jokic",8500,"DEN@DAL 12/04/2017 08:30PM ET",39.881,"DEN","DAL",0,0,0
"PF/C","Kristaps Porzingis",8400,"NY@IND 12/04/2017 07:00PM ET",41.118,"NY","IND",0,0,0
"C","Karl-Anthony Towns",8300,"MIN@MEM 12/04/2017 08:00PM ET",41.63,"MIN","MEM",42.07,42.6,27.75
"PF/C","LaMarcus Aldridge",8300,"DET@SA 12/04/2017 08:30PM ET",40.295,"SA","DET",40.98,39.1,37.5
"PF/C","Kevin Love",8200,"CLE@CHI 12/04/2017 08:00PM ET",37.88,"CLE","CHI",33.33,37.8,45.25
"C","Marc Gasol",8100,"MIN@MEM 12/04/2017 08:00PM ET",40.875,"MEM","MIN",39.49,40.9,38.75
"PG","Dennis Schroder",8000,"BKN@ATL 12/04/2017 07:30PM ET",35.275,"ATL","BKN",39.83,42.2,31.25
"SF/PF","Kawhi Leonard",8000,"DET@SA 12/04/2017 08:30PM ET",0,"SA","DET",0,0,0
"SF/PF","Aaron Gordon",7900,"ORL@CHA 12/04/2017 07:00PM ET",37.357,"ORL","CHA",37.03,36.7,30
"SG/SF","Devin Booker",7800,"PHO@PHI 12/04/2017 07:00PM ET",36.946,"PHO","PHI",37.45,36.8,64.5
"C","Dwight Howard",7700,"ORL@CHA 12/04/2017 07:00PM ET",35.107,"CHA","ORL",37.68,37.4,24.25
"PF/C","Al Horford",7600,"MIL@BOS 12/04/2017 07:30PM ET",34.841,"BOS","MIL",33.86,35,44.75
"C","Rudy Gobert",7500,"WAS@UTA 12/04/2017 09:00PM ET",35.042,"UTA","WAS",28.29,28.2,26
"PG","Kemba Walker",7500,"ORL@CHA 12/04/2017 07:00PM ET",38.289,"CHA","ORL",35.74,38.6,50.5
"SG","Bradley Beal",7400,"WAS@UTA 12/04/2017 09:00PM ET",36.5,"WAS","UTA",35.81,35,13.25
"PF/C","Draymond Green",7400,"GS@NO 12/04/2017 08:00PM ET",35.136,"GS","NO",36.36,36.6,53.25
"SG/SF","Tyreke Evans",7300,"MIN@MEM 12/04/2017 08:00PM ET",32.705,"MEM","MIN",37.27,35,43.25
"PG","D'Angelo Russell",7200,"BKN@ATL 12/04/2017 07:30PM ET",36.458,"BKN","ATL",0,0,0
"C","Nikola Vucevic",7100,"ORL@CHA 12/04/2017 07:00PM ET",35.076,"ORL","CHA",35.9,36.1,34.5
"PG/SG","Spencer Dinwiddie",7000,"BKN@ATL 12/04/2017 07:30PM ET",27.375,"BKN","ATL",35.64,33.2,29.75
