"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SG","Klay Thompson",7000,"GS@NO 12/04/2017 08:00PM ET",33.522,"GS","NO",33.57,34.1,31.25
"PG/SG","Donovan Mitchell",6900,"WAS@UTA 12/04/2017 09:00PM ET",28.783,"UTA","WAS",35.95,34.9,27.75
"SG","Jimmy Butler",6900,"MIN@MEM 12/04/2017 08:00PM ET",35.369,"MIN","MEM",37.02,37.8,48
"SG/SF","Will Barton",6900,"DEN@DAL 12/04/2017 08:30PM ET",29.216,"DEN","DAL",29.52,30,46
"SG/SF","Tim Hardaway",6800,"NY@IND 12/04/2017 07:00PM ET",31.238,"NY","IND",0,0,0
"PG/SG","Eric Bledsoe",6700,"MIL@BOS 12/04/2017 07:30PM ET",32.196,"MIL","BOS",30.12,31.8,28.75
"PF/C","Derrick Favors",6700,"WAS@UTA 12/04/2017 09:00PM ET",27.609,"UTA","WAS",29.19,28.1,23.5
"SF/PF","TJ Warren",6700,"PHO@PHI 12/04/2017 07:00PM ET",30.667,"PHO","PHI",33.32,35.3,43
"SF/PF","Otto Porter",6600,"WAS@UTA 12/04/2017 09:00PM ET",32.548,"WAS","UTA",33.06,29.7,24
"SF/PF","Harrison Barnes",6600,"DEN@DAL 12/04/2017 08:30PM ET",32.185,"DAL","DEN",34.6,34,40.5
"PG","Isaiah Thomas",6500,"CLE@CHI 12/04/2017 08:00PM ET",0,"CLE","CHI",0,0,0
"SF/PF","Andrew Wiggins",6500,"MIN@MEM 12/04/2017 08:00PM ET",31.043,"MIN","MEM",29.68,28.9,21.25
"PG","Jeff Teague",6400,"MIN@MEM 12/04/2017 08:00PM ET",33.066,"MIN","MEM",33.51,31.9,15.25
"PG","Mike Conley",6400,"MIN@MEM 12/04/2017 08:00PM ET",28.771,"MEM","MIN",0,0,0
"PF/C","Paul Millsap",6400,"DEN@DAL 12/04/2017 08:30PM ET",31.828,"DEN","DAL",0,0,0
"SF/PF","Tobias Harris",6400,"DET@SA 12/04/2017 08:30PM ET",30.977,"DET","SA",28.33,28.9,26.25
"SG/SF","Khris Middleton",6300,"MIL@BOS 12/04/2017 07:30PM ET",35.107,"MIL","BOS",32.48,31.9,42.5
"PG/SG","Jrue Holiday",6300,"GS@NO 12/04/2017 08:00PM ET",31.837,"NO","GS",33.7,34,50
"PF/C","Enes Kanter",6200,"NY@IND 12/04/2017 07:00PM ET",31.181,"NY","IND",0,0,0
"SF/PF","Robert Covington",6200,"PHO@PHI 12/04/2017 07:00PM ET",30.92,"PHI","PHO",33.4,35.3,28.5
"PG/SG","Kris Dunn",6100,"CLE@CHI 12/04/2017 08:00PM ET",27.426,"CHI","CLE",30.58,28.1,31.5
"PF","Lauri Markkanen",6100,"CLE@CHI 12/04/2017 08:00PM ET",29.893,"CHI","CLE",24.78,29.8,28.75
"C","Myles Turner",6100,"NY@IND 12/04/2017 07:00PM ET",30.781,"IND","NY",33.8,34.9,22.25
"SF/PF","Jayson Tatum",6000,"MIL@BOS 12/04/2017 07:30PM ET",26.51,"BOS","MIL",22.55,23.3,26
"SG/SF","Jaylen Brown",6000,"MIL@BOS 12/04/2017 07:30PM ET",27.446,"BOS","MIL",24.09,25.4,19.25
"PG","Elfrid Payton",6000,"ORL@CHA 12/04/2017 07:00PM ET",28.982,"ORL","CHA",38.75,33.7,27.5
"SF/PF","DeMarre Carroll",5900,"BKN@ATL 12/04/2017 07:30PM ET",28.725,"BKN","ATL",27.41,27.9,29
"PF/C","Taj Gibson",5900,"MIN@MEM 12/04/2017 08:00PM ET",25.935,"MIN","MEM",28.58,28.4,27.75
"PG","Reggie Jackson",5900,"DET@SA 12/04/2017 08:30PM ET",29.114,"DET","SA",26.18,25.3,38
"SG","Gary Harris",5800,"DEN@DAL 12/04/2017 08:30PM ET",27.1,"DEN","DAL",25.53,29.1,37.75
"SG/SF","Jeremy Lamb",5800,"ORL@CHA 12/04/2017 07:00PM ET",30.095,"CHA","ORL",26.37,25.1,17.5
"SG/SF","Kent Bazemore",5700,"BKN@ATL 12/04/2017 07:30PM ET",27.045,"ATL","BKN",30.3,27.2,21.25
"SF/PF","Rondae Hollis-Jefferson",5700,"BKN@ATL 12/04/2017 07:30PM ET",26.132,"BKN","ATL",29.36,30.3,37.5
"PF/C","John Collins",5700,"BKN@ATL 12/04/2017 07:30PM ET",24.202,"ATL","BKN",0,0,0
"SG/SF","Rodney Hood",5700,"WAS@UTA 12/04/2017 09:00PM ET",25.986,"UTA","WAS",0,0,0
"PG","Darren Collison",5700,"NY@IND 12/04/2017 07:00PM ET",28.717,"IND","NY",29.03,28.8,41.5
"SG/SF","Nicolas Batum",5700,"ORL@CHA 12/04/2017 07:00PM ET",22.25,"CHA","ORL",29.42,31.5,36.25
"SG/SF","Justin Holiday",5600,"CLE@CHI 12/04/2017 08:00PM ET",27.713,"CHI","CLE",28.45,27.6,31.5
"PG/SG","Dwyane Wade",5600,"CLE@CHI 12/04/2017 08:00PM ET",25.08,"CLE","CHI",24.73,26.8,35
"SF/PF","Thaddeus Young",5600,"NY@IND 12/04/2017 07:00PM ET",27.728,"IND","NY",28.18,28.3,33
"PG/SG","Dennis Smith",5600,"DEN@DAL 12/04/2017 08:30PM ET",26.905,"DAL","DEN",27.9,28,30.25
"PF/C","Dario Saric",5600,"PHO@PHI 12/04/2017 07:00PM ET",24.114,"PHI","PHO",27.98,29,28.75
"PG","Ricky Rubio",5500,"WAS@UTA 12/04/2017 09:00PM ET",27.534,"UTA","WAS",25.17,25.6,18.75
"SG/SF","Evan Fournier",5500,"ORL@CHA 12/04/2017 07:00PM ET",29.413,"ORL","CHA",30.36,29.2,25.75
"PF/C","Pau Gasol",5500,"DET@SA 12/04/2017 08:30PM ET",29.33,"SA","DET",30.86,29.9,38.5
"SG/SF","Marcus Smart",5400,"MIL@BOS 12/04/2017 07:30PM ET",26.148,"BOS","MIL",20.94,26.4,24
"SG/SF","Denzel Valentine",5400,"CLE@CHI 12/04/2017 08:00PM ET",24.012,"CHI","CLE",22.15,23.2,13.75
"PG/SG","Avery Bradley",5400,"DET@SA 12/04/2017 08:30PM ET",25.455,"DET","SA",24.96,25.3,9.25
"SG/SF","Taurean Prince",5300,"BKN@ATL 12/04/2017 07:30PM ET",25.716,"ATL","BKN",26.04,27,19
"C","Robin Lopez",5300,"CLE@CHI 12/04/2017 08:00PM ET",24.643,"CHI","CLE",22.75,24.1,27.25
"PG","Mario Chalmers",5300,"MIN@MEM 12/04/2017 08:00PM ET",19.893,"MEM","MIN",15.18,16.1,10
"SG/SF","JJ Redick",5300,"PHO@PHI 12/04/2017 07:00PM ET",26.875,"PHI","PHO",30.66,30.6,30.25
"C","Dewayne Dedmon",5200,"BKN@ATL 12/04/2017 07:30PM ET",25.038,"ATL","BKN",0,0,0
"SF/PF","Jabari Parker",5200,"MIL@BOS 12/04/2017 07:30PM ET",0,"MIL","BOS",0,0,0
"C","Marcin Gortat",5200,"WAS@UTA 12/04/2017 09:00PM ET",25.943,"WAS","UTA",25.07,20.6,20.25
"SG/SF","Courtney Lee",5200,"NY@IND 12/04/2017 07:00PM ET",25.286,"NY","IND",0,0,0
"PG/SF","Kyle Anderson",5200,"DET@SA 12/04/2017 08:30PM ET",24.818,"SA","DET",0,0,0
"SG/SF","Joe Ingles",5100,"WAS@UTA 12/04/2017 09:00PM ET",24.696,"UTA","WAS",27.76,26,18.5
"SG/SF","Kelly Oubre",5100,"WAS@UTA 12/04/2017 09:00PM ET",23.136,"WAS","UTA",14.45,19.4,11.25
"PF/C","Domantas Sabonis",5100,"NY@IND 12/04/2017 07:00PM ET",27.583,"IND","NY",20.64,21.2,29
"PG/SG","Jamal Murray",5100,"DEN@DAL 12/04/2017 08:30PM ET",22.955,"DEN","DAL",22.5,25.5,28
"PF/C","Trevor Booker",5000,"BKN@ATL 12/04/2017 07:30PM ET",22.132,"BKN","ATL",23.14,19.7,27
"SG/SF","Jonathon Simmons",5000,"ORL@CHA 12/04/2017 07:00PM ET",21.478,"ORL","CHA",24.44,27,24.5
"PG","Rajon Rondo",5000,"GS@NO 12/04/2017 08:00PM ET",22.2,"NO","GS",23.83,26.8,38.75
"SG/SF","Caris LeVert",4900,"BKN@ATL 12/04/2017 07:30PM ET",22.545,"BKN","ATL",25.17,22.4,33.5
"SF/PF","Marcus Morris",4900,"MIL@BOS 12/04/2017 07:30PM ET",24.464,"BOS","MIL",21.81,23.3,15.5
"PF/C","Nikola Mirotic",4900,"CLE@CHI 12/04/2017 08:00PM ET",0,"CHI","CLE",0,0,0
"SF/PF","Ersan Ilyasova",4800,"BKN@ATL 12/04/2017 07:30PM ET",16.727,"ATL","BKN",21.39,26.2,15.5
"PG/SG","Malcolm Brogdon",4800,"MIL@BOS 12/04/2017 07:30PM ET",24.425,"MIL","BOS",21.04,19.2,17.5
"PF","Bobby Portis",4800,"CLE@CHI 12/04/2017 08:00PM ET",24.708,"CHI","CLE",9.59,16.3,26.75
"PF/C","Kenneth Faried",4800,"DEN@DAL 12/04/2017 08:30PM ET",13.224,"DEN","DAL",21.94,22.7,31.25
"SF/PF","Rudy Gay",4800,"DET@SA 12/04/2017 08:30PM ET",23.262,"SA","DET",25.61,26.1,36.5
"SG/SF","Allen Crabbe",4700,"BKN@ATL 12/04/2017 07:30PM ET",22.013,"BKN","ATL",23.25,24.3,16.5
"PG/SG","Zach LaVine",4700,"CLE@CHI 12/04/2017 08:00PM ET",0,"CHI","CLE",0,0,0
"SF/PF","Markieff Morris",4700,"WAS@UTA 12/04/2017 09:00PM ET",19.3,"WAS","UTA",22.3,20.6,15.75
"SF/PF","JaMychal Green",4700,"MIN@MEM 12/04/2017 08:00PM ET",19.85,"MEM","MIN",23.89,23.7,29.75
"PF/C","Dirk Nowitzki",4700,"DEN@DAL 12/04/2017 08:30PM ET",23.087,"DAL","DEN",21.51,24.6,20
"SF/PF","Wilson Chandler",4700,"DEN@DAL 12/04/2017 08:30PM ET",19.792,"DEN","DAL",12.11,17.6,16.75
"PF/C","Greg Monroe",4700,"PHO@PHI 12/04/2017 07:00PM ET",20.423,"PHO","PHI",21.66,0,0
"C","John Henson",4600,"MIL@BOS 12/04/2017 07:30PM ET",21.563,"MIL","BOS",25.11,24.7,6.75
"PG/SG","Jerian Grant",4600,"CLE@CHI 12/04/2017 08:00PM ET",22.595,"CHI","CLE",20.59,20.1,6
"PG/SG","JJ Barea",4600,"DEN@DAL 12/04/2017 08:30PM ET",25.152,"DAL","DEN",24.6,25.5,0
"SG/SF","Bojan Bogdanovic",4500,"NY@IND 12/04/2017 07:00PM ET",22.435,"IND","NY",23.24,24.5,28
"SG/SF","Lance Stephenson",4500,"NY@IND 12/04/2017 07:00PM ET",19.174,"IND","NY",21.08,21.6,18.75
"SG/SF","Wesley Matthews",4500,"DEN@DAL 12/04/2017 08:30PM ET",22.924,"DAL","DEN",25.37,25.7,22.75
"PG","Michael Carter-Williams",4500,"ORL@CHA 12/04/2017 07:00PM ET",16.45,"CHA","ORL",17.49,14.8,8.25
"PF/C","Alex Len",4500,"PHO@PHI 12/04/2017 07:00PM ET",24.088,"PHO","PHI",20.28,15,10.75
"SG","Marco Belinelli",4400,"BKN@ATL 12/04/2017 07:30PM ET",21.989,"ATL","BKN",20.79,20.5,13.5
"PG","TJ McConnell",4400,"PHO@PHI 12/04/2017 07:00PM ET",21.588,"PHI","PHO",0,0,0
"SG/SF","Danny Green",4400,"DET@SA 12/04/2017 08:30PM ET",22.5,"SA","DET",21.91,20.7,29.5
"PF/C","Mason Plumlee",4300,"DEN@DAL 12/04/2017 08:30PM ET",16.716,"DEN","DAL",30.45,27.7,18.75
"C","Tyson Chandler",4300,"PHO@PHI 12/04/2017 07:00PM ET",22.361,"PHO","PHI",19.46,21.7,37.5
"PG","Mike James",4300,"PHO@PHI 12/04/2017 07:00PM ET",22.76,"PHO","PHI",20.77,21.5,8.25
"PF/C","Kyle O'Quinn",4200,"NY@IND 12/04/2017 07:00PM ET",19.857,"NY","IND",0,0,0
"SG/SF","Josh Jackson",4200,"PHO@PHI 12/04/2017 07:00PM ET",17.625,"PHO","PHI",14.99,14.8,13.75
"SG/SF","Joe Harris",4100,"BKN@ATL 12/04/2017 07:30PM ET",18.333,"BKN","ATL",15.79,18.2,17.5
"PG/SG","Terry Rozier",4100,"MIL@BOS 12/04/2017 07:30PM ET",20.188,"BOS","MIL",16.05,15.4,16
"SG/SF","JR Smith",4100,"CLE@CHI 12/04/2017 08:00PM ET",17.902,"CLE","CHI",19.71,20.3,13
"PG","Tim Frazier",4100,"WAS@UTA 12/04/2017 09:00PM ET",14.034,"WAS","UTA",18.61,16.8,8
"PG/SG","Tomas Satoransky",4100,"WAS@UTA 12/04/2017 09:00PM ET",12.173,"WAS","UTA",0,16.5,13.5
"PG/SG","Seth Curry",4100,"DEN@DAL 12/04/2017 08:30PM ET",0,"DAL","DEN",0,0,0
"PG","Tyler Ulis",4100,"PHO@PHI 12/04/2017 07:00PM ET",17.446,"PHO","PHI",20.89,19.9,32.75
"SF","Darius Miller",4100,"GS@NO 12/04/2017 08:00PM ET",12.761,"NO","GS",20.94,22.7,15
"SF/PF","Luke Babbitt",4000,"BKN@ATL 12/04/2017 07:30PM ET",14.447,"ATL","BKN",18,16.4,8.5
"PG/SG","Alec Burks",4000,"WAS@UTA 12/04/2017 09:00PM ET",16.659,"UTA","WAS",21.46,23.6,41.25
"SF","Michael Kidd-Gilchrist",4000,"ORL@CHA 12/04/2017 07:00PM ET",17.617,"CHA","ORL",19.49,22.9,26.5
"PG","Ish Smith",4000,"DET@SA 12/04/2017 08:30PM ET",18.898,"DET","SA",16.39,17.3,0
"SG/SF","DeAndre' Bembry",3900,"BKN@ATL 12/04/2017 07:30PM ET",11.469,"ATL","BKN",0,17.5,0
"PG","Jarrett Jack",3900,"NY@IND 12/04/2017 07:00PM ET",19.197,"NY","IND",0,0,0
"PF/C","Dwight Powell",3900,"DEN@DAL 12/04/2017 08:30PM ET",15.636,"DAL","DEN",15,16.5,26.25
"PG/SG","Devin Harris",3900,"DEN@DAL 12/04/2017 08:30PM ET",16.544,"DAL","DEN",15.92,18.5,25.25
"PG/SG","Malik Monk",3900,"ORL@CHA 12/04/2017 07:00PM ET",13.421,"CHA","ORL",7.54,0,0
"PF/C","Marquese Chriss",3900,"PHO@PHI 12/04/2017 07:00PM ET",17.052,"PHO","PHI",19.06,17.8,17.5
"PG","Patty Mills",3900,"DET@SA 12/04/2017 08:30PM ET",19.727,"SA","DET",18.26,18.7,0
"SG/SF","Tony Snell",3800,"MIL@BOS 12/04/2017 07:30PM ET",16.845,"MIL","BOS",13.86,14.4,12.5
"SF/PF","Jeff Green",3800,"CLE@CHI 12/04/2017 08:00PM ET",18.304,"CLE","CHI",17.08,18.5,27.5
"PG/SG","David Nwaba",3800,"CLE@CHI 12/04/2017 08:00PM ET",19.306,"CHI","CLE",12.79,16.4,8.75
"PG","Derrick Rose",3800,"CLE@CHI 12/04/2017 08:00PM ET",19.786,"CLE","CHI",0,0,0
"PF/C","Tristan Thompson",3800,"CLE@CHI 12/04/2017 08:00PM ET",13.781,"CLE","CHI",0,0,0
"SF/PF","Jonas Jerebko",3800,"WAS@UTA 12/04/2017 09:00PM ET",13.708,"UTA","WAS",10.23,10.4,15.25
"SG/SF","Glenn Robinson III",3800,"NY@IND 12/04/2017 07:00PM ET",0,"IND","NY",0,0,0
"SG/SF","Dillon Brooks",3800,"MIN@MEM 12/04/2017 08:00PM ET",17.375,"MEM","MIN",17.41,19.2,14
"PG/SG","Tyus Jones",3800,"MIN@MEM 12/04/2017 08:00PM ET",13.152,"MIN","MEM",9.02,9.6,8
"SF/PF","Chandler Parsons",3800,"MIN@MEM 12/04/2017 08:00PM ET",16.722,"MEM","MIN",0,0,0
"PG","Emmanuel Mudiay",3800,"DEN@DAL 12/04/2017 08:30PM ET",19.523,"DEN","DAL",15.73,15.5,12
"PG/SG","Yogi Ferrell",3800,"DEN@DAL 12/04/2017 08:30PM ET",17.163,"DAL","DEN",14.22,13.6,22
"PF/C","Frank Kaminsky",3800,"ORL@CHA 12/04/2017 07:00PM ET",19.338,"CHA","ORL",15.86,18.1,29.25
"PG/SG","DJ Augustin",3800,"ORL@CHA 12/04/2017 07:00PM ET",17.844,"ORL","CHA",11.94,14.5,23.75
"PG/SG","Markelle Fultz",3800,"PHO@PHI 12/04/2017 07:00PM ET",12.438,"PHI","PHO",0,0,0
"PF/C","Thon Maker",3700,"MIL@BOS 12/04/2017 07:30PM ET",12.869,"MIL","BOS",11.65,12.8,1.25
"PF/C","Daniel Theis",3700,"MIL@BOS 12/04/2017 07:30PM ET",11.943,"BOS","MIL",6.6,0,8.75
"SF/PF","Jae Crowder",3700,"CLE@CHI 12/04/2017 08:00PM ET",15.554,"CLE","CHI",16.1,17.3,18.5
"SG/SF","Kyle Korver",3700,"CLE@CHI 12/04/2017 08:00PM ET",17.315,"CLE","CHI",17.74,17.8,14
"SG/SF","Thabo Sefolosha",3700,"WAS@UTA 12/04/2017 09:00PM ET",17.409,"UTA","WAS",17.16,16.2,14.75
"SG/SF","James Ennis III",3700,"MIN@MEM 12/04/2017 08:00PM ET",14.905,"MEM","MIN",0,14.1,0
"SF/PF","Trey Lyles",3700,"DEN@DAL 12/04/2017 08:30PM ET",10.279,"DEN","DAL",17.28,17.8,22
"SF/PF","Juancho Hernangomez",3700,"DEN@DAL 12/04/2017 08:30PM ET",9.818,"DEN","DAL",0,16.3,0
"SF/PF","Marvin Williams",3700,"ORL@CHA 12/04/2017 07:00PM ET",19.06,"CHA","ORL",19.23,20.5,17.25
"SG/SF","Terrence Ross",3700,"ORL@CHA 12/04/2017 07:00PM ET",18.795,"ORL","CHA",0,0,0
"PF/C","Amir Johnson",3700,"PHO@PHI 12/04/2017 07:00PM ET",16.35,"PHI","PHO",16.06,15.9,8
"PF/C","Richaun Holmes",3700,"PHO@PHI 12/04/2017 07:00PM ET",11.056,"PHI","PHO",0,0,0
"SG/SF","Andre Iguodala",3700,"GS@NO 12/04/2017 08:00PM ET",17.313,"GS","NO",18.51,18.4,24
"SG/SF","E'Twaun Moore",3700,"GS@NO 12/04/2017 08:00PM ET",20.522,"NO","GS",21.3,23.3,39.5
"SG/SF","Stanley Johnson",3700,"DET@SA 12/04/2017 08:30PM ET",16.526,"DET","SA",16.32,16.9,34
"PG","Tony Parker",3700,"DET@SA 12/04/2017 08:30PM ET",15.083,"SA","DET",16.12,15.1,15.5
"PG/SG","Malcolm Delaney",3600,"BKN@ATL 12/04/2017 07:30PM ET",12.559,"ATL","BKN",0,0,7
"C","Aron Baynes",3600,"MIL@BOS 12/04/2017 07:30PM ET",15.156,"BOS","MIL",15.89,14,20
"PF/C","Gorgui Dieng",3600,"MIN@MEM 12/04/2017 08:00PM ET",15.15,"MIN","MEM",15.95,14.3,23.25
"C","Cody Zeller",3600,"ORL@CHA 12/04/2017 07:00PM ET",17.882,"CHA","ORL",18.47,15.6,14.75
"PF","Jared Dudley",3600,"PHO@PHI 12/04/2017 07:00PM ET",11.611,"PHO","PHI",0,0,0
"PG/SG","Shaun Livingston",3600,"GS@NO 12/04/2017 08:00PM ET",11.226,"GS","NO",0,0,0
"SG/SF","Manu Ginobili",3600,"DET@SA 12/04/2017 08:30PM ET",15.645,"SA","DET",17.56,15.3,20.5
"PG/SG","Bryn Forbes",3600,"DET@SA 12/04/2017 08:30PM ET",10.548,"SA","DET",12.14,12.7,2.75
"PG/SG","Sean Kilpatrick",3500,"BKN@ATL 12/04/2017 07:30PM ET",9.917,"BKN","ATL",10.59,10.8,0
"C","Mike Muscala",3500,"BKN@ATL 12/04/2017 07:30PM ET",16.333,"ATL","BKN",0,0,0
"PG/SF","DeAndre Liggins",3500,"MIL@BOS 12/04/2017 07:30PM ET",7.667,"MIL","BOS",6.25,7.7,4.75
"SG/SF","Paul Zipser",3500,"CLE@CHI 12/04/2017 08:00PM ET",11.111,"CHI","CLE",12.42,8.6,4
"PG/SG","Iman Shumpert",3500,"CLE@CHI 12/04/2017 08:00PM ET",12.192,"CLE","CHI",0,0,0
"SG","Jodie Meeks",3500,"WAS@UTA 12/04/2017 09:00PM ET",11.602,"WAS","UTA",9.67,11,7.5
"SG/SF","Joe Johnson",3500,"WAS@UTA 12/04/2017 09:00PM ET",11.656,"UTA","WAS",0,0,0
"PG","Cory Joseph",3500,"NY@IND 12/04/2017 07:00PM ET",18.109,"IND","NY",15.33,18.1,22.25
"PG/SG","Frank Ntilikina",3500,"NY@IND 12/04/2017 07:00PM ET",14.278,"NY","IND",0,0,0
"SF/PF","Michael Beasley",3500,"NY@IND 12/04/2017 07:00PM ET",12.983,"NY","IND",0,0,0
"SG","Jamal Crawford",3500,"MIN@MEM 12/04/2017 08:00PM ET",14.924,"MIN","MEM",13.09,13.5,8.25
"SF/PF","Nemanja Bjelica",3500,"MIN@MEM 12/04/2017 08:00PM ET",13.514,"MIN","MEM",0,0,0
"SG/SF","Shabazz Muhammad",3500,"MIN@MEM 12/04/2017 08:00PM ET",7.25,"MIN","MEM",3.69,0,0
"SG/SF","Ben McLemore",3500,"MIN@MEM 12/04/2017 08:00PM ET",13.136,"MEM","MIN",16.13,17.7,10.75
"SF/PF","Jonathan Isaac",3500,"ORL@CHA 12/04/2017 07:00PM ET",16.229,"ORL","CHA",0,0,0
"PF/C","David West",3500,"GS@NO 12/04/2017 08:00PM ET",15.905,"GS","NO",14.12,14,21
"PG","Dejounte Murray",3500,"DET@SA 12/04/2017 08:30PM ET",17.42,"SA","DET",7.89,0,3.75
"SG","Brandon Paul",3500,"DET@SA 12/04/2017 08:30PM ET",8.213,"SA","DET",7.65,12.5,1.5
"C","Tyler Zeller",3400,"BKN@ATL 12/04/2017 07:30PM ET",15.839,"BKN","ATL",17.87,17.4,19.25
"PF/C","Jarrett Allen",3400,"BKN@ATL 12/04/2017 07:30PM ET",12.946,"BKN","ATL",10.77,13.7,22.75
"C","Miles Plumlee",3400,"BKN@ATL 12/04/2017 07:30PM ET",7.667,"ATL","BKN",16.84,14.3,11.75
"PF/C","Channing Frye",3400,"CLE@CHI 12/04/2017 08:00PM ET",9.94,"CLE","CHI",14.68,13.1,4.5
"C","Ian Mahinmi",3400,"WAS@UTA 12/04/2017 09:00PM ET",9.818,"WAS","UTA",12.53,13.5,4.75
"PF/C","Jason Smith",3400,"WAS@UTA 12/04/2017 09:00PM ET",5.938,"WAS","UTA",0,0,4.5
"PF/C","Guillermo Hernangomez",3400,"NY@IND 12/04/2017 07:00PM ET",10.865,"NY","IND",0,0,0
"PF/C","Al Jefferson",3400,"NY@IND 12/04/2017 07:00PM ET",16.725,"IND","NY",0,0,0
"PF/C","Jarell Martin",3400,"MIN@MEM 12/04/2017 08:00PM ET",11.81,"MEM","MIN",12.5,11.7,8
"PG/SG","Andrew Harrison",3400,"MIN@MEM 12/04/2017 08:00PM ET",10.953,"MEM","MIN",11.9,10.4,17
"SG/SF","Arron Afflalo",3400,"ORL@CHA 12/04/2017 07:00PM ET",4.956,"ORL","CHA",8.5,9.8,9.5
"PF/C","Dragan Bender",3400,"PHO@PHI 12/04/2017 07:00PM ET",13.417,"PHO","PHI",12.15,13.5,14.25
"PG/SG","Jerryd Bayless",3400,"PHO@PHI 12/04/2017 07:00PM ET",17.234,"PHI","PHO",17.9,18.8,12.75
"PG/SG","Jameer Nelson",3400,"GS@NO 12/04/2017 08:00PM ET",17.667,"NO","GS",12.01,14.5,13
"SF/PF","Omri Casspi",3400,"GS@NO 12/04/2017 08:00PM ET",14.25,"GS","NO",9.53,0,4.25
