"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SF/PF","LeBron James",11600,"CLE@MIL 12/19/2017 08:00PM ET",58.073,"CLE","MIL",59.68,57,60.25
"SF/PF","Giannis Antetokounmpo",11400,"CLE@MIL 12/19/2017 08:00PM ET",55.87,"MIL","CLE",52.99,55.4,60.5
"PF/C","DeMarcus Cousins",10700,"NO@WAS 12/19/2017 07:00PM ET",55.008,"NO","WAS",56.44,53.5,49.25
"PF/C","Anthony Davis",10100,"NO@WAS 12/19/2017 07:00PM ET",48.72,"NO","WAS",48.66,50.7,51.25
"C","Joel Embiid",9900,"SAC@PHI 12/19/2017 07:00PM ET",47.554,"PHI","SAC",0,0,0
"PG/SF","Ben Simmons",9500,"SAC@PHI 12/19/2017 07:00PM ET",45.231,"PHI","SAC",45.97,46.9,47
"PG","John Wall",8800,"NO@WAS 12/19/2017 07:00PM ET",41.171,"WAS","NO",49.82,46.3,43.5
"PF/C","Kevin Love",7800,"CLE@MIL 12/19/2017 08:00PM ET",38.308,"CLE","MIL",35.51,38.4,44.5
"SG","Bradley Beal",7700,"NO@WAS 12/19/2017 07:00PM ET",37.483,"WAS","NO",38.75,41,44.25
"SG/SF","Khris Middleton",7300,"CLE@MIL 12/19/2017 08:00PM ET",36.402,"MIL","CLE",37.49,35.9,37
"PG/SG","Jrue Holiday",7100,"NO@WAS 12/19/2017 07:00PM ET",35.092,"NO","WAS",34.95,35.4,33
"PG/SG","Eric Bledsoe",6700,"CLE@MIL 12/19/2017 08:00PM ET",32.298,"MIL","CLE",29.2,34.3,38.75
"PF/C","Zach Randolph",6400,"SAC@PHI 12/19/2017 07:00PM ET",29.24,"SAC","PHI",30.28,29.3,34.25
"PG","Isaiah Thomas",6300,"CLE@MIL 12/19/2017 08:00PM ET",0,"CLE","MIL",0,0,0
"SF/PF","Robert Covington",6200,"SAC@PHI 12/19/2017 07:00PM ET",31.76,"PHI","SAC",32.83,33.2,28.75
"PF/C","Dario Saric",6100,"SAC@PHI 12/19/2017 07:00PM ET",25.787,"PHI","SAC",27.96,32.1,27.75
"PG","Rajon Rondo",6000,"NO@WAS 12/19/2017 07:00PM ET",27.344,"NO","WAS",29.83,28.4,6
"SF/PF","Otto Porter",5800,"NO@WAS 12/19/2017 07:00PM ET",30.625,"WAS","NO",0,0,0
"SG/SF","JJ Redick",5400,"SAC@PHI 12/19/2017 07:00PM ET",27.712,"PHI","SAC",27.91,28.5,12.5
"PF/C","Willie Cauley-Stein",5200,"SAC@PHI 12/19/2017 07:00PM ET",23.865,"SAC","PHI",25.92,27.3,21.5
"SF/PF","Jabari Parker",5000,"CLE@MIL 12/19/2017 08:00PM ET",0,"MIL","CLE",0,0,0
"PG/SG","Dwyane Wade",4800,"CLE@MIL 12/19/2017 08:00PM ET",24.429,"CLE","MIL",24.15,22.4,27
"PG/SG","Malcolm Brogdon",4800,"CLE@MIL 12/19/2017 08:00PM ET",24.093,"MIL","CLE",21.32,22.1,24.75
"SG/SF","Kelly Oubre",4700,"NO@WAS 12/19/2017 07:00PM ET",22.575,"WAS","NO",24.26,23.3,16.5
"C","Marcin Gortat",4700,"NO@WAS 12/19/2017 07:00PM ET",25.208,"WAS","NO",21.81,20.8,37.5
"SF/PF","Markieff Morris",4600,"NO@WAS 12/19/2017 07:00PM ET",18.977,"WAS","NO",19.78,21.4,17.5
"SG/SF","E'Twaun Moore",4600,"NO@WAS 12/19/2017 07:00PM ET",22.35,"NO","WAS",21.46,21.4,22.5
"SG/SF","Buddy Hield",4600,"SAC@PHI 12/19/2017 07:00PM ET",21.731,"SAC","PHI",23.16,23.5,39.25
"PG/SG","George Hill",4600,"SAC@PHI 12/19/2017 07:00PM ET",19.769,"SAC","PHI",0,0,0
"PF","Mike Scott",4500,"NO@WAS 12/19/2017 07:00PM ET",15.777,"WAS","NO",19.21,22.2,31
"C","John Henson",4500,"CLE@MIL 12/19/2017 08:00PM ET",21.435,"MIL","CLE",21.74,22.6,31
"PF/C","Richaun Holmes",4400,"SAC@PHI 12/19/2017 07:00PM ET",15.875,"PHI","SAC",22.09,20.7,18
"PG","De'Aaron Fox",4300,"SAC@PHI 12/19/2017 07:00PM ET",20.25,"SAC","PHI",21.25,19.7,4.25
"SG/SF","Bogdan Bogdanovic",4300,"SAC@PHI 12/19/2017 07:00PM ET",19.231,"SAC","PHI",19.96,21.8,8.75
"SF/PF","Jeff Green",4300,"CLE@MIL 12/19/2017 08:00PM ET",19.282,"CLE","MIL",16.18,17,21.5
"PF/C","Trevor Booker",4200,"SAC@PHI 12/19/2017 07:00PM ET",22.773,"PHI","SAC",18.23,15.8,20.5
