"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG","Russell Westbrook",11000,"UTA@OKC 12/05/2017 08:00PM ET",52.636,"OKC","UTA",54.98,53.7,77.25
"PG","Damian Lillard",9400,"WAS@POR 12/05/2017 10:00PM ET",44.283,"POR","WAS",43.21,44.3,53
"PG","John Wall",8500,"WAS@POR 12/05/2017 10:00PM ET",42.313,"WAS","POR",0,0,0
"SF","Paul George",8400,"UTA@OKC 12/05/2017 08:00PM ET",39.773,"OKC","UTA",38.69,39.2,28.25
"SG","Bradley Beal",7600,"WAS@POR 12/05/2017 10:00PM ET",36.5,"WAS","POR",37.55,35.3,59.25
"C","Rudy Gobert",7300,"UTA@OKC 12/05/2017 08:00PM ET",35.042,"UTA","OKC",25.3,26.1,16
"C","Jusuf Nurkic",7200,"WAS@POR 12/05/2017 10:00PM ET",30.576,"POR","WAS",34.89,34.3,34.25
"PG/SG","Donovan Mitchell",7100,"UTA@OKC 12/05/2017 08:00PM ET",28.783,"UTA","OKC",32.51,32.2,48.25
"PG/SG","CJ McCollum",7000,"WAS@POR 12/05/2017 10:00PM ET",33.466,"POR","WAS",31.21,32.7,28
"SF/PF","Otto Porter",6900,"WAS@POR 12/05/2017 10:00PM ET",32.548,"WAS","POR",29.31,29.7,22
"PF/C","Derrick Favors",6600,"UTA@OKC 12/05/2017 08:00PM ET",27.609,"UTA","OKC",31.15,28.1,18.5
"SF/PF","Carmelo Anthony",6500,"UTA@OKC 12/05/2017 08:00PM ET",32.333,"OKC","UTA",28.86,30.7,31.5
"C","Steven Adams",5900,"UTA@OKC 12/05/2017 08:00PM ET",29.237,"OKC","UTA",27.34,27.7,33.75
"SG/SF","Rodney Hood",5700,"UTA@OKC 12/05/2017 08:00PM ET",25.986,"UTA","OKC",0,0,0
"PG","Ricky Rubio",5400,"UTA@OKC 12/05/2017 08:00PM ET",27.534,"UTA","OKC",24.08,24.1,22
"C","Marcin Gortat",5200,"WAS@POR 12/05/2017 10:00PM ET",25.943,"WAS","POR",20.74,21.2,26.75
"SG/SF","Kelly Oubre",4900,"WAS@POR 12/05/2017 10:00PM ET",23.136,"WAS","POR",23.27,21.4,30
"SG/SF","Joe Ingles",4900,"UTA@OKC 12/05/2017 08:00PM ET",24.696,"UTA","OKC",24.85,22.8,30
"SF/PF","Markieff Morris",4700,"WAS@POR 12/05/2017 10:00PM ET",19.3,"WAS","POR",20.66,20.7,22.5
"PG/SG","Alec Burks",4500,"UTA@OKC 12/05/2017 08:00PM ET",16.659,"UTA","OKC",23.61,24.7,21
"SF/PF","Al-Farouq Aminu",4200,"WAS@POR 12/05/2017 10:00PM ET",21.932,"POR","WAS",20.45,22.2,27
"PG/SG","Tomas Satoransky",4100,"WAS@POR 12/05/2017 10:00PM ET",12.173,"WAS","POR",0,18.2,17
"PF/C","Noah Vonleh",4000,"WAS@POR 12/05/2017 10:00PM ET",17.563,"POR","WAS",12.31,12.7,9.5
"SG/SF","Evan Turner",3900,"WAS@POR 12/05/2017 10:00PM ET",17.837,"POR","WAS",14.67,16.2,5.75
"PG","Tim Frazier",3900,"WAS@POR 12/05/2017 10:00PM ET",14.034,"WAS","POR",18.89,17.1,21.75
"SF/PF","Jonas Jerebko",3800,"UTA@OKC 12/05/2017 08:00PM ET",13.708,"UTA","OKC",9.32,16.2,13
"SG/SF","Thabo Sefolosha",3700,"UTA@OKC 12/05/2017 08:00PM ET",17.409,"UTA","OKC",14.83,16.8,33.5
"SF/PF","Jerami Grant",3700,"UTA@OKC 12/05/2017 08:00PM ET",18.193,"OKC","UTA",15.57,15.5,8.25
"PG/SG","Shabazz Napier",3600,"WAS@POR 12/05/2017 10:00PM ET",14.697,"POR","WAS",11.76,14.7,3
"SG/SF","Pat Connaughton",3600,"WAS@POR 12/05/2017 10:00PM ET",12.272,"POR","WAS",13.49,14.5,7.75
"SG/SF","Joe Johnson",3500,"UTA@OKC 12/05/2017 08:00PM ET",11.656,"UTA","OKC",0,0,0
"SG/SF","Andre Roberson",3500,"UTA@OKC 12/05/2017 08:00PM ET",14.193,"OKC","UTA",17.52,17.4,19
"SG","Jodie Meeks",3400,"WAS@POR 12/05/2017 10:00PM ET",11.602,"WAS","POR",12.58,11.7,0.5
"SF/PF","Maurice Harkless",3400,"WAS@POR 12/05/2017 10:00PM ET",13.326,"POR","WAS",0,0,8.5
"PF","Caleb Swanigan",3400,"WAS@POR 12/05/2017 10:00PM ET",8.038,"POR","WAS",0,0,0
"PF/C","Jason Smith",3300,"WAS@POR 12/05/2017 10:00PM ET",5.938,"WAS","POR",0,0,0
"C","Ian Mahinmi",3300,"WAS@POR 12/05/2017 10:00PM ET",9.818,"WAS","POR",14.42,13.6,12
"PF/C","Ed Davis",3300,"WAS@POR 12/05/2017 10:00PM ET",16.522,"POR","WAS",9.66,9.3,1.25
"PG/SG","Raymond Felton",3300,"UTA@OKC 12/05/2017 08:00PM ET",14.023,"OKC","UTA",12.98,11.7,3
"SG/SF","Alex Abrines",3300,"UTA@OKC 12/05/2017 08:00PM ET",7.863,"OKC","UTA",0,0,5.25
"C","Dakari Johnson",3300,"UTA@OKC 12/05/2017 08:00PM ET",5.795,"OKC","UTA",0,0,0
"PF/C","Meyers Leonard",3200,"WAS@POR 12/05/2017 10:00PM ET",11.219,"POR","WAS",7.78,0,3.25
"PG","Raul Neto",3200,"UTA@OKC 12/05/2017 08:00PM ET",10.571,"UTA","OKC",0,0,0
