"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"C","Karl-Anthony Towns",9000,"MIN@DEN 12/20/2017 09:00PM ET",43.355,"MIN","DEN",0,47.3,48.5
"SG","Jimmy Butler",8800,"MIN@DEN 12/20/2017 09:00PM ET",38.5,"MIN","DEN",0,40.8,36.5
"PG","Damian Lillard",8500,"SA@POR 12/20/2017 10:00PM ET",44.583,"POR","SA",0,41.6,30.5
"C","Nikola Jokic",8100,"MIN@DEN 12/20/2017 09:00PM ET",39.239,"DEN","MIN",0,42.9,35.5
"PF/C","LaMarcus Aldridge",7800,"SA@POR 12/20/2017 10:00PM ET",39.133,"SA","POR",0,33.8,37
"PF/C","Paul Millsap",6600,"MIN@DEN 12/20/2017 09:00PM ET",31.828,"DEN","MIN",0,0,0
"PG/SG","CJ McCollum",6400,"SA@POR 12/20/2017 10:00PM ET",33.405,"POR","SA",0,32.1,30.25
"C","Jusuf Nurkic",6400,"SA@POR 12/20/2017 10:00PM ET",30.509,"POR","SA",0,30.5,23.5
"SG","Gary Harris",6300,"MIN@DEN 12/20/2017 09:00PM ET",29.357,"DEN","MIN",0,0,0
"SG/SF","Will Barton",6200,"MIN@DEN 12/20/2017 09:00PM ET",30.784,"DEN","MIN",0,30.4,24.25
"PG","Jeff Teague",6100,"MIN@DEN 12/20/2017 09:00PM ET",31.083,"MIN","DEN",0,30.9,36.5
"SF/PF","Kawhi Leonard",6000,"SA@POR 12/20/2017 10:00PM ET",21.833,"SA","POR",0,0,0
"SF/PF","Andrew Wiggins",6000,"MIN@DEN 12/20/2017 09:00PM ET",28.903,"MIN","DEN",0,28.3,22.25
"PF/C","Taj Gibson",5900,"MIN@DEN 12/20/2017 09:00PM ET",26.798,"MIN","DEN",0,27.9,22.25
"PG/SG","Jamal Murray",5700,"MIN@DEN 12/20/2017 09:00PM ET",24.35,"DEN","MIN",0,30.9,45
"SF/PF","Rudy Gay",5400,"SA@POR 12/20/2017 10:00PM ET",24.345,"SA","POR",0,25.7,10.75
"PF/C","Pau Gasol",5300,"SA@POR 12/20/2017 10:00PM ET",26.967,"SA","POR",0,20.2,52.75
"PG/SF","Kyle Anderson",5200,"SA@POR 12/20/2017 10:00PM ET",24.489,"SA","POR",0,12.6,23
"SG/SF","Danny Green",5000,"SA@POR 12/20/2017 10:00PM ET",21.361,"SA","POR",0,16.7,16.5
"SF/PF","Trey Lyles",4800,"MIN@DEN 12/20/2017 09:00PM ET",15.8,"DEN","MIN",0,21.9,18.25
"SF/PF","Al-Farouq Aminu",4600,"SA@POR 12/20/2017 10:00PM ET",22.444,"POR","SA",0,22.8,29.5
"SF/PF","Wilson Chandler",4600,"MIN@DEN 12/20/2017 09:00PM ET",20.692,"DEN","MIN",0,23.9,28.5
"PG","Tony Parker",4200,"SA@POR 12/20/2017 10:00PM ET",18.639,"SA","POR",0,0,0
"PG","Patty Mills",4200,"SA@POR 12/20/2017 10:00PM ET",19.46,"SA","POR",0,17.6,0
"PG","Dejounte Murray",4100,"SA@POR 12/20/2017 10:00PM ET",17.808,"SA","POR",0,20.9,17.75
"PF/C","Mason Plumlee",4100,"MIN@DEN 12/20/2017 09:00PM ET",18.608,"DEN","MIN",0,24.3,40.5
"SG/SF","Manu Ginobili",4000,"SA@POR 12/20/2017 10:00PM ET",16.106,"SA","POR",0,15.3,21.25
"SG/SF","Evan Turner",3800,"SA@POR 12/20/2017 10:00PM ET",17.65,"POR","SA",0,19.3,18.25
"PF/C","Ed Davis",3800,"SA@POR 12/20/2017 10:00PM ET",15.775,"POR","SA",0,15.8,23.75
"PF/C","Kenneth Faried",3800,"MIN@DEN 12/20/2017 09:00PM ET",15.59,"DEN","MIN",0,0,0
"PG","Emmanuel Mudiay",3800,"MIN@DEN 12/20/2017 09:00PM ET",18.405,"DEN","MIN",0,0,0
"SG","Jamal Crawford",3700,"MIN@DEN 12/20/2017 09:00PM ET",15.04,"MIN","DEN",0,14.7,32.75
"SG/SF","Torrey Craig",3600,"MIN@DEN 12/20/2017 09:00PM ET",14.75,"DEN","MIN",0,21.9,20
"PG/SG","Shabazz Napier",3500,"SA@POR 12/20/2017 10:00PM ET",14.04,"POR","SA",0,14.4,20.25
"PF/C","Gorgui Dieng",3500,"MIN@DEN 12/20/2017 09:00PM ET",15.464,"MIN","DEN",0,15.4,21.75
"SG","Brandon Paul",3400,"SA@POR 12/20/2017 10:00PM ET",8.466,"SA","POR",0,0,0
"SF/PF","Davis Bertans",3400,"SA@POR 12/20/2017 10:00PM ET",9.596,"SA","POR",0,10.4,2.75
"SF/PF","Maurice Harkless",3400,"SA@POR 12/20/2017 10:00PM ET",12.85,"POR","SA",0,0,0
"PG/SG","Bryn Forbes",3400,"SA@POR 12/20/2017 10:00PM ET",11.45,"SA","POR",0,15.7,6.5
"PF/C","Noah Vonleh",3400,"SA@POR 12/20/2017 10:00PM ET",14.761,"POR","SA",0,0,0
"PF/C","Zach Collins",3400,"SA@POR 12/20/2017 10:00PM ET",8.232,"POR","SA",0,14.1,6.5
"SF/PF","Nemanja Bjelica",3400,"MIN@DEN 12/20/2017 09:00PM ET",13.514,"MIN","DEN",0,0,0
"PF/C","Meyers Leonard",3300,"SA@POR 12/20/2017 10:00PM ET",11.091,"POR","SA",0,0,4.75
"SG/SF","Pat Connaughton",3300,"SA@POR 12/20/2017 10:00PM ET",11.283,"POR","SA",0,7.7,5.25
"SG/SF","Shabazz Muhammad",3300,"MIN@DEN 12/20/2017 09:00PM ET",7.25,"MIN","DEN",0,0,0
"PG/SG","Tyus Jones",3300,"MIN@DEN 12/20/2017 09:00PM ET",12.476,"MIN","DEN",0,10.2,9.25
"SF/PF","Juancho Hernangomez",3300,"MIN@DEN 12/20/2017 09:00PM ET",8.833,"DEN","MIN",0,0,0
"PF","Caleb Swanigan",3200,"SA@POR 12/20/2017 10:00PM ET",7.607,"POR","SA",0,0,0
"SG","Malik Beasley",3200,"MIN@DEN 12/20/2017 09:00PM ET",7.385,"DEN","MIN",0,11.6,4.5
"SG/SF","CJ Wilcox",3000,"SA@POR 12/20/2017 10:00PM ET",0,"POR","SA",0,0,0
"SG/SF","Darrun Hilliard",3000,"SA@POR 12/20/2017 10:00PM ET",3.3,"SA","POR",0,0,0
"SF/PF","Jake Layman",3000,"SA@POR 12/20/2017 10:00PM ET",3.692,"POR","SA",0,0,0
"PF","Matt Costello",3000,"SA@POR 12/20/2017 10:00PM ET",12.25,"SA","POR",0,0,0
"PF/C","Joffrey Lauvergne",3000,"SA@POR 12/20/2017 10:00PM ET",9.779,"SA","POR",0,0,9.25
"PG","Derrick White",3000,"SA@POR 12/20/2017 10:00PM ET",6.65,"SA","POR",0,0,0
"PG/SG","Wade Baldwin IV",3000,"SA@POR 12/20/2017 10:00PM ET",0,"POR","SA",0,0,0
"SF/PF","Richard Jefferson",3000,"MIN@DEN 12/20/2017 09:00PM ET",3.219,"DEN","MIN",0,0,0
"PG/SG","Aaron Brooks",3000,"MIN@DEN 12/20/2017 09:00PM ET",4.25,"MIN","DEN",0,0,0
"PF","Darrell Arthur",3000,"MIN@DEN 12/20/2017 09:00PM ET",3.938,"DEN","MIN",0,0,0
"C","Cole Aldrich",3000,"MIN@DEN 12/20/2017 09:00PM ET",1.625,"MIN","DEN",0,0,0
"SG/SF","Anthony Brown",3000,"MIN@DEN 12/20/2017 09:00PM ET",0,"MIN","DEN",0,0,0
