"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG/SG","James Harden",11500,"LAC@HOU 12/22/2017 08:00PM ET",57.075,"HOU","LAC",66.39,65.6,73
"PG","Russell Westbrook",11400,"ATL@OKC 12/22/2017 08:00PM ET",54.766,"OKC","ATL",56.87,57.8,67.75
"SF/PF","Giannis Antetokounmpo",11300,"CHA@MIL 12/22/2017 08:00PM ET",56.036,"MIL","CHA",55.68,56,44.75
"PG/SG","Chris Paul",9200,"LAC@HOU 12/22/2017 08:00PM ET",42.953,"HOU","LAC",0,0,0
"C","DeAndre Jordan",7800,"LAC@HOU 12/22/2017 08:00PM ET",34.85,"LAC","HOU",39.12,39.1,47
"C","Dwight Howard",7600,"CHA@MIL 12/22/2017 08:00PM ET",36.097,"CHA","MIL",41.16,39.2,5.25
"PF/C","Blake Griffin",7400,"LAC@HOU 12/22/2017 08:00PM ET",43.763,"LAC","HOU",0,0,0
"SG/SF","Khris Middleton",7400,"CHA@MIL 12/22/2017 08:00PM ET",36.422,"MIL","CHA",38.26,37.5,38.75
"PG/SG","Lou Williams",7200,"LAC@HOU 12/22/2017 08:00PM ET",32.207,"LAC","HOU",37.67,37,0
"SF","Paul George",7100,"ATL@OKC 12/22/2017 08:00PM ET",37.983,"OKC","ATL",38.46,39.1,32.75
"C","Clint Capela",7100,"LAC@HOU 12/22/2017 08:00PM ET",35.134,"HOU","LAC",0,0,0
"C","Hassan Whiteside",6900,"DAL@MIA 12/22/2017 08:00PM ET",36.95,"MIA","DAL",0,0,0
"PG","Kemba Walker",6800,"CHA@MIL 12/22/2017 08:00PM ET",37.267,"CHA","MIL",33.44,34.5,47
"PG/SG","Eric Bledsoe",6700,"CHA@MIL 12/22/2017 08:00PM ET",32.591,"MIL","CHA",33.18,34,55.25
"PG","Dennis Schroder",6600,"ATL@OKC 12/22/2017 08:00PM ET",34.819,"ATL","OKC",33.97,0,0
"C","Steven Adams",6500,"ATL@OKC 12/22/2017 08:00PM ET",29.894,"OKC","ATL",32.54,31.5,34.5
"SF/PF","Harrison Barnes",6400,"DAL@MIA 12/22/2017 08:00PM ET",32.266,"DAL","MIA",30.11,30.7,25.5
"SG/SF","Kent Bazemore",6100,"ATL@OKC 12/22/2017 08:00PM ET",28.637,"ATL","OKC",26.75,28.7,27.75
"SF/PF","James Johnson",6100,"DAL@MIA 12/22/2017 08:00PM ET",26.455,"MIA","DAL",0,0,0
"SG/SF","Josh Richardson",6100,"DAL@MIA 12/22/2017 08:00PM ET",22.548,"MIA","DAL",29.23,29,42.5
"SG/SF","Dion Waiters",6000,"DAL@MIA 12/22/2017 08:00PM ET",25.448,"MIA","DAL",31.65,30.9,9.75
"PG","Goran Dragic",5900,"DAL@MIA 12/22/2017 08:00PM ET",29.862,"MIA","DAL",0,0,0
"SG","Eric Gordon",5900,"LAC@HOU 12/22/2017 08:00PM ET",27.375,"HOU","LAC",34.67,33.3,38
"SG/SF","Taurean Prince",5800,"ATL@OKC 12/22/2017 08:00PM ET",26.653,"ATL","OKC",28.1,26.1,18.25
"SF/PF","Carmelo Anthony",5600,"ATL@OKC 12/22/2017 08:00PM ET",30.783,"OKC","ATL",30.96,30.9,33.25
"PF/C","Kelly Olynyk",5600,"DAL@MIA 12/22/2017 08:00PM ET",22.032,"MIA","DAL",35.42,31.3,23.5
"SF/PF","Danilo Gallinari",5600,"LAC@HOU 12/22/2017 08:00PM ET",24.591,"LAC","HOU",0,0,0
"PG/SG","Austin Rivers",5600,"LAC@HOU 12/22/2017 08:00PM ET",25.964,"LAC","HOU",29.75,29.3,54
"SG/SF","Trevor Ariza",5500,"LAC@HOU 12/22/2017 08:00PM ET",25.313,"HOU","LAC",32.19,31.4,22
"SG/SF","Nicolas Batum",5500,"CHA@MIL 12/22/2017 08:00PM ET",24.559,"CHA","MIL",27.91,27.8,23.75
