"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"C","Karl-Anthony Towns",8100,"MIN@LAC 12/06/2017 10:30PM ET",40.79,"MIN","LAC",0,42.7,53.5
"PF/C","LaMarcus Aldridge",8100,"MIA@SA 12/06/2017 08:30PM ET",40.174,"SA","MIA",0,38.9,24.5
"PF/C","Blake Griffin",8000,"MIN@LAC 12/06/2017 10:30PM ET",43.763,"LAC","MIN",0,0,0
"SF/PF","Kawhi Leonard",7700,"MIA@SA 12/06/2017 08:30PM ET",0,"SA","MIA",0,0,0
"SG","Jimmy Butler",7600,"MIN@LAC 12/06/2017 10:30PM ET",36.707,"MIN","LAC",0,42.4,40.5
"C","Hassan Whiteside",7500,"MIA@SA 12/06/2017 08:30PM ET",36.95,"MIA","SA",0,0,0
"PG/SG","Lou Williams",7100,"MIN@LAC 12/06/2017 10:30PM ET",30.841,"LAC","MIN",0,37.6,0
"C","DeAndre Jordan",6900,"MIN@LAC 12/06/2017 10:30PM ET",32.216,"LAC","MIN",0,35.6,47.25
"SF/PF","Andrew Wiggins",6700,"MIN@LAC 12/06/2017 10:30PM ET",30.16,"MIN","LAC",0,30.3,20.5
"PG","Jeff Teague",6600,"MIN@LAC 12/06/2017 10:30PM ET",32.095,"MIN","LAC",0,31.8,35.75
"PF/C","Taj Gibson",6200,"MIN@LAC 12/06/2017 10:30PM ET",26.36,"MIN","LAC",0,28.3,43.5
"PG","Goran Dragic",6200,"MIA@SA 12/06/2017 08:30PM ET",30.696,"MIA","SA",0,27.2,22.5
"PG/SG","Austin Rivers",6100,"MIN@LAC 12/06/2017 10:30PM ET",25.727,"LAC","MIN",0,28.9,35.5
"PF/C","Pau Gasol",5700,"MIA@SA 12/06/2017 08:30PM ET",28.958,"SA","MIA",0,30.2,24.25
"SG/SF","Dion Waiters",5600,"MIA@SA 12/06/2017 08:30PM ET",25.5,"MIA","SA",0,24.8,33.75
"SF/PF","Danilo Gallinari",5500,"MIN@LAC 12/06/2017 10:30PM ET",24.806,"LAC","MIN",0,23,13.5
"SF/PF","James Johnson",5500,"MIA@SA 12/06/2017 08:30PM ET",26.409,"MIA","SA",0,25.2,20.75
"SF/PF","Rudy Gay",5200,"MIA@SA 12/06/2017 08:30PM ET",23.864,"SA","MIA",0,29.7,35.25
"PG/SF","Kyle Anderson",5200,"MIA@SA 12/06/2017 08:30PM ET",24.489,"SA","MIA",0,0,0
"PF/C","Kelly Olynyk",4700,"MIA@SA 12/06/2017 08:30PM ET",20.587,"MIA","SA",0,25.5,28.5
"SG/SF","Danny Green",4600,"MIA@SA 12/06/2017 08:30PM ET",22.228,"SA","MIA",0,21.4,29.75
"SG/SF","Josh Richardson",4500,"MIA@SA 12/06/2017 08:30PM ET",19.761,"MIA","SA",0,20,25
"SG/SF","Wesley Johnson",4300,"MIN@LAC 12/06/2017 10:30PM ET",17.864,"LAC","MIN",0,20.3,21.75
"PG","Patty Mills",4100,"MIA@SA 12/06/2017 08:30PM ET",19.458,"SA","MIA",0,19.2,0
"PF/C","Bam Adebayo",4000,"MIA@SA 12/06/2017 08:30PM ET",12.607,"MIA","SA",0,17.2,14.75
"PG/SG","Tyler Johnson",3900,"MIA@SA 12/06/2017 08:30PM ET",19.477,"MIA","SA",0,18,35.75
"SF/PF","Justise Winslow",3900,"MIA@SA 12/06/2017 08:30PM ET",18.337,"MIA","SA",0,15,14
"PF/C","Gorgui Dieng",3800,"MIN@LAC 12/06/2017 10:30PM ET",15.682,"MIN","LAC",0,16.8,15
"PG/SG","Milos Teodosic",3800,"MIN@LAC 12/06/2017 10:30PM ET",13.125,"LAC","MIN",0,0,0
"PF/C","Montrezl Harrell",3800,"MIN@LAC 12/06/2017 10:30PM ET",11.109,"LAC","MIN",0,10.2,12.5
"PG/SG","Tyus Jones",3700,"MIN@LAC 12/06/2017 10:30PM ET",13.05,"MIN","LAC",0,10.6,7
"SG/SF","Manu Ginobili",3700,"MIA@SA 12/06/2017 08:30PM ET",15.888,"SA","MIA",0,16.2,17.25
"PG","Tony Parker",3700,"MIA@SA 12/06/2017 08:30PM ET",15.188,"SA","MIA",0,14.8,28.75
"SG/SF","Wayne Ellington",3700,"MIA@SA 12/06/2017 08:30PM ET",14.674,"MIA","SA",0,14.6,10.25
