"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"PG/SG","James Harden",11100,"HOU@OKC 12/25/2017 08:00PM ET",57.589,"HOU","OKC",0,61.2,0
"SF/PF","LeBron James",11000,"CLE@GS 12/25/2017 03:00PM ET",58.197,"CLE","GS",0,54.9,0
"PG","Russell Westbrook",10900,"HOU@OKC 12/25/2017 08:00PM ET",55.409,"OKC","HOU",0,58.1,0
"SF/PF","Kevin Durant",10500,"CLE@GS 12/25/2017 03:00PM ET",49.054,"GS","CLE",0,52.6,0
"C","Joel Embiid",9500,"PHI@NY 12/25/2017 12:00PM ET",46.865,"PHI","NY",0,47.9,0
"PG/SF","Ben Simmons",9300,"PHI@NY 12/25/2017 12:00PM ET",44.524,"PHI","NY",0,42.4,0
"PG/SG","Stephen Curry",9100,"CLE@GS 12/25/2017 03:00PM ET",46.924,"GS","CLE",0,0,0
"PG/SG","Chris Paul",9000,"HOU@OKC 12/25/2017 08:00PM ET",42.953,"HOU","OKC",0,0,0
"C","Karl-Anthony Towns",8900,"MIN@LAL 12/25/2017 10:30PM ET",43.455,"MIN","LAL",0,47.1,0
"PF/C","Kristaps Porzingis",8600,"PHI@NY 12/25/2017 12:00PM ET",39.99,"NY","PHI",0,0,0
"SG","Jimmy Butler",8400,"MIN@LAL 12/25/2017 10:30PM ET",38.661,"MIN","LAL",0,41.6,0
"PG","Kyrie Irving",8300,"WAS@BOS 12/25/2017 05:30PM ET",39.397,"BOS","WAS",0,40.5,0
"PG","John Wall",8000,"WAS@BOS 12/25/2017 05:30PM ET",40.068,"WAS","BOS",0,41.1,0
"PF/C","Kevin Love",7500,"CLE@GS 12/25/2017 03:00PM ET",38.563,"CLE","GS",0,36.9,0
"SF/PF","Kyle Kuzma",7300,"MIN@LAL 12/25/2017 10:30PM ET",30.692,"LAL","MIN",0,33.7,0
"PF/C","Draymond Green",7200,"CLE@GS 12/25/2017 03:00PM ET",35.981,"GS","CLE",0,37.2,0
"SG","Bradley Beal",7000,"WAS@BOS 12/25/2017 05:30PM ET",36.682,"WAS","BOS",0,35.3,0
"PG","Lonzo Ball",6900,"MIN@LAL 12/25/2017 10:30PM ET",33.911,"LAL","MIN",0,0,0
"SF","Paul George",6800,"HOU@OKC 12/25/2017 08:00PM ET",38.226,"OKC","HOU",0,38.9,0
